,Score,Epslon,round
0,-42.9,24.008939140800003,0
1,-44.1,0.00017742240000000002,1
2,-30.7,0.00017742240000000002,2
3,-35.1,0.00017742240000000002,3
4,-41.2,0.00017742240000000002,4
5,-38.4,0.00017742240000000002,5
6,-41.4,0.00017742240000000002,6
7,-45.6,0.00017742240000000002,7
8,-45.8,0.00017742240000000002,8
9,-44.4,0.00017742240000000002,9
10,-35.3,0.00017742240000000002,10
11,-36.8,0.00017742240000000002,11
12,-48.7,0.00017742240000000002,12
13,-41.5,0.00017742240000000002,13
14,-36.6,0.00017742240000000002,14
15,-36.1,0.00017742240000000002,15
16,-42.9,0.00017742240000000002,16
17,-42.9,0.00017742240000000002,17
18,-42.0,0.00017742240000000002,18
19,-42.0,0.00017742240000000002,19
20,-40.7,0.00017742240000000002,20
21,-33.6,0.00017742240000000002,21
